ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición
3631;simple;1;Azucar ESTRELLA 1kg x10;1;0;visible;Azucar ESTRELLA 1kg x10;;;;taxable;;1;;;0;0;;;;;1;;;650;Comestible;;;;;;;;;;;;0
3632;simple;2;Almidon Ranchito x 1kg. x10;1;0;visible;Almidon Ranchito x 1kg. x10;;;;taxable;;1;;;0;0;;;;;1;;;1123;Comestible;;;;;;;;;;;;0
3633;simple;3;ALA 400grs REG. x24;1;0;visible;ALA 400grs REG. x24;;;;taxable;;1;;;0;0;;;;;1;;;1710;Limpieza;;;;;;;;;;;;0
3634;simple;4;ALA 400grs MATIC x24;1;0;visible;ALA 400grs MATIC x24;;;;taxable;;1;;;0;0;;;;;1;;;1710;Limpieza;;;;;;;;;;;;0
3635;simple;5;Alcohol Ibatin 250ml x20;1;0;visible;Alcohol Ibatin 250ml x20;;;;taxable;;1;;;0;0;;;;;1;;;1200;Perfumeria;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_162.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_162.png;;;;;;;;;0
3636;simple;8;Indutex Alfombra algodon tejida;1;0;visible;Indutex Alfombra algodon tejida;;;;taxable;;1;;;0;0;;;;;1;;;420;Bazar;;;;;;;;;;;;0
3637;simple;9;Indutex Alfombra decorada;1;0;visible;Indutex Alfombra decorada;;;;taxable;;1;;;0;0;;;;;1;;;120;Bazar;;;;;;;;;;;;0
3638;simple;10;NP Alfombra rayada festoneada;1;0;visible;NP Alfombra rayada festoneada;;;;taxable;;1;;;0;0;;;;;1;;;149;Bazar;;;;;;;;;;;;0
3639;simple;12;NP Felpudo Hilado Plast. (60);1;0;visible;NP Felpudo Hilado Plast. (60);;;;taxable;;1;;;0;0;;;;;1;;;344;Bazar;;;;;;;;;;;;0
3640;simple;15;LENT. Algodon Doncella 140gr x20;1;0;visible;LENT. Algodon Doncella 140gr x20;;;;taxable;;1;;;0;0;;;;;1;;;1670;Perfumeria;;;;;;;;;;;;0
3641;simple;16;LENT. Algodon Doncella 70gr x40;1;0;visible;LENT. Algodon Doncella 70gr x40;;;;taxable;;1;;;0;0;;;;;1;;;1680;Perfumeria;;;;;;;;;;;;0
3642;simple;21;Bolsa Res. Indutex 80x110x10;1;0;visible;Bolsa Res. Indutex 80x110x10;;;;taxable;;1;;;0;0;;;;;1;;;150;Bazar;;;;;;;;;;;;0
3643;simple;22;Bolsa residuos 60x100 NELS;1;0;visible;Bolsa residuos 60x100 NELS;;;;taxable;;1;;;0;0;;;;;1;;;60;Bazar;;;;;;;;;;;;0
3644;simple;23;Bolsa Res. 120x150cm Gigante;1;0;visible;Bolsa Res. 120x150cm Gigante;;;;taxable;;1;;;0;0;;;;;1;;;70;Bazar;;;;;;;;;;;;0
3645;simple;24;AGUSTINA Broche Madera x12 (120);1;0;visible;AGUSTINA Broche Madera x12 (120);;;;taxable;;1;;;0;0;;;;;1;;;630;Bazar;;;;;;;;;;;;0
3646;simple;28;Cabo SL Nativa 1.30cm X24;1;0;visible;Cabo SL Nativa 1.30cm X24;;;;taxable;;1;;;0;0;;;;;1;;;1400;Bazar;;;;;;;;;;;;0
3647;simple;30;Carpeta festoneada RVK;1;0;visible;Carpeta festoneada RVK;;;;taxable;;1;;;0;0;;;;;1;;;24;Bazar;;;;;;;;;;;;0
